PID,elements_processed,bytes_sent,max,average,keys_found,start_time_s,start_time_ns,end_time_s,end_time_ns
34109,12500,64,32763,16227.926758,27,4115,776230686,4115,883245062
34110,12500,64,32765,16250.121094,15,4115,776977128,4115,883540854
34107,12500,64,32767,16505.447266,14,4115,776146759,4115,878944392
34106,12500,64,32767,16390.248047,19,4115,776058745,4115,880850517
34098,25000,208,32767,16447.847656,33,4115,775176410,4115,885492483
34100,25000,64,32766,16358.333008,40,4115,773702351,4115,876238435
34101,25000,64,32761,16386.091797,35,4115,773100977,4115,874172380
34099,25000,216,32765,16239.023438,42,4115,775575003,4115,884474736
34095,50000,352,32767,16403.089844,73,4115,772653174,4115,885975364
34096,50000,368,32765,16312.557617,77,4115,772683528,4115,890554812
